TimeCasa;GolCasa;GolVisitante;TimeVisitante
palmeiras;2;2;cruzeiro
santos;3;1;atleticoMg
atleticoGo;0;1;sao paulo
botafogo;1;2;fluminense
coritiba;4;0;avai
gremio;3;1;flamengo
cruzeiro;1;0;athleticoPr
corinthians;3;2;palmeiras
bahia;2;0;ponte preta
chapecoense;1;1;sport
vaco;1;1;vitoria
ponte preta;0;1;gremio
avai;1;2;bahia
athleticoPr;0;1;corinthians
sport;1;2;botafogo
vitoria;3;1;palmeiras
flamengo;2;0;cruzeiro
santos;1;2;vaco
sao paulo;2;2;chapecoense
atleticoMg;3;2;atleticoGo
fluminense;2;2;coritiba
botafogo;0;1;athleticoPr
corinthians;1;0;avai
gremio;1;1;vitoria
atleticoGo;2;0;sport
vaco;1;1;sao paulo
palmeiras;2;0;flamengo
bahia;2;2;atleticoMg
cruzeiro;3;1;fluminense
coritiba;1;1;ponte preta
chapecoense;2;0;santos
ponte preta;2;1;athleticoPr
cruzeiro;2;2;avai
gremio;1;0;sao paulo
corinthians;3;1;fluminense
vaco;1;1;atleticoMg
palmeiras;5;1;sport
botafogo;1;2;atleticoGo
chapecoense;2;1;vitoria
bahia;3;1;santos
coritiba;1;0;flamengo
flamengo;3;0;corinthians
sport;1;0;bahia
vitoria;1;1;cruzeiro
atleticoGo;1;1;chapecoense
sao paulo;0;0;botafogo
atleticoMg;3;0;coritiba
athleticoPr;3;1;vaco
santos;1;0;gremio
fluminense;2;0;ponte preta
avai;2;1;palmeiras
fluminense;1;2;sport
ponte preta;2;3;vitoria
avai;1;0;athleticoPr
corinthians;2;2;atleticoMg
cruzeiro;0;1;vaco
coritiba;1;2;sao paulo
gremio;1;1;atleticoGo
bahia;0;1;chapecoense
flamengo;1;2;santos
palmeiras;2;0;botafogo
athleticoPr;3;0;palmeiras
botafogo;2;2;cruzeiro
vaco;2;1;ponte preta
santos;1;1;avai
sao paulo;1;1;bahia
atleticoMg;4;3;gremio
sport;1;0;corinthians
vitoria;1;2;flamengo
atleticoGo;1;1;fluminense
chapecoense;2;1;coritiba
